net,length_um
net37,124.6µm
net43,120.74µm
clknet_2_1__leaf_i_Clk,112.84µm
net42,99.5µm
SPI_Master_Inst.o_TX_Ready,98.11µm
net36,96.795µm
net39,96.7µm
net40,95.62µm
clknet_2_2__leaf_i_Clk,91.08µm
clknet_2_3__leaf_i_Clk,84.78µm
net38,75.7µm
clknet_2_0__leaf_i_Clk,75.49µm
net2,62.51µm
clknet_0_i_Clk,62.36µm
i_Clk,60.89µm
_065_,60.68µm
SPI_Master_Inst.r_RX_Bit_Count\[0\],56.98µm
SPI_Master_Inst.r_TX_Bit_Count\[1\],56.79µm
SPI_Master_Inst.r_RX_Bit_Count\[1\],55.66µm
net34,53.46µm
_060_,50.96µm
net41,45.61µm
SPI_Master_Inst.r_TX_Bit_Count\[0\],43.47µm
_050_,40.6µm
_101_,37.67µm
_061_,37.52µm
SPI_Master_Inst.r_Trailing_Edge,37.09µm
SPI_Master_Inst.r_TX_DV,36.94µm
_048_,35.22µm
SPI_Master_Inst.r_RX_Bit_Count\[2\],34.59µm
_052_,31.5µm
SPI_Master_Inst.r_SPI_Clk_Count\[0\],30.74µm
r_SM_CS\[1\],28.88µm
_091_,28.24µm
_076_,28.16µm
net26,27.76µm
SPI_Master_Inst.r_TX_Bit_Count\[2\],26.97µm
r_SM_CS\[0\],25.95µm
_083_,25.94µm
i_Rst_L,25.69µm
_098_,25.38µm
net30,25.13µm
_053_,23.84µm
r_TX_Count\[0\],23.08µm
_062_,22.935µm
_018_,22.5µm
_095_,22.46µm
SPI_Master_Inst.r_SPI_Clk_Edges\[0\],21.96µm
net29,21.72µm
r_TX_Count\[1\],21.58µm
_103_,21.54µm
_051_,21.255µm
net28,21.13µm
i_TX_DV,20.91µm
_115_,20.68µm
_064_,20.46µm
net35,19.96µm
net4,19.9µm
_057_,19.8µm
_094_,19.66µm
SPI_Master_Inst.r_TX_Byte\[2\],19.445µm
_000_,19.42µm
net3,18.88µm
SPI_Master_Inst.r_TX_Byte\[4\],18.05µm
SPI_Master_Inst.r_SPI_Clk_Edges\[2\],17.92µm
SPI_Master_Inst.r_SPI_Clk_Edges\[1\],17.86µm
SPI_Master_Inst.r_TX_Byte\[7\],17.86µm
o_RX_Count[0],17.68µm
net22,17.66µm
net19,17.44µm
net24,17.38µm
net1,17.08µm
SPI_Master_Inst.r_TX_Byte\[5\],16.98µm
_092_,16.74µm
SPI_Master_Inst.r_TX_Byte\[1\],16.48µm
_019_,16.42µm
o_RX_Count[1],16.3µm
_010_,16.14µm
net27,15.95µm
_080_,15.68µm
i_TX_Byte[0],15.62µm
_097_,15.53µm
r_CS_Inactive_Count\[0\],15.17µm
i_TX_Byte[1],15µm
_056_,14.89µm
net64,14.88µm
_074_,14.8µm
SPI_Master_Inst.r_TX_Byte\[0\],14.72µm
_059_,14.42µm
_090_,14.3µm
_013_,13.92µm
SPI_Master_Inst.r_SPI_Clk_Edges\[4\],13.46µm
i_TX_Byte[3],13.32µm
_077_,13.22µm
_030_,13.045µm
_028_,13.04µm
net57,12.98µm
_055_,12.88µm
_054_,12.86µm
net23,12.76µm
SPI_Master_Inst.r_SPI_Clk_Edges\[3\],12.68µm
net21,12.66µm
_039_,12.62µm
_058_,12.54µm
net8,12.52µm
_096_,12.38µm
net18,12.38µm
SPI_Master_Inst.r_TX_Byte\[6\],12.325µm
net45,12.02µm
r_CS_Inactive_Count\[-1\],11.96µm
_107_,11.84µm
i_TX_Byte[5],11.78µm
net9,11.74µm
net25,11.74µm
net15,11.5µm
i_TX_Byte[2],11.48µm
_081_,11.42µm
_109_,11.36µm
net10,11.32µm
o_RX_Byte[4],11.24µm
_043_,11.18µm
i_TX_Byte[4],11.07µm
_071_,10.98µm
o_RX_Byte[7],10.78µm
_063_,10.64µm
i_SPI_MISO,10.42µm
_049_,10.36µm
net13,10.36µm
o_RX_Byte[6],10.32µm
_106_,10.28µm
_067_,10.04µm
net20,10µm
o_RX_Byte[0],9.86µm
o_RX_Byte[3],9.86µm
o_RX_Byte[5],9.86µm
net54,9.74µm
i_TX_Byte[7],9.64µm
net5,9.6µm
_072_,9.54µm
_045_,9.5µm
_105_,9.44µm
o_RX_DV,9.4µm
net61,9.3µm
_084_,8.98µm
_110_,8.94µm
net55,8.94µm
_020_,8.825µm
net49,8.76µm
i_TX_Byte[6],8.72µm
net74,8.6µm
_044_,8.52µm
net63,8.48µm
_078_,8.36µm
SPI_Master_Inst.r_SPI_Clk_Count\[1\],8.32µm
net17,8.32µm
_036_,8.18µm
_089_,8.16µm
SPI_Master_Inst.r_SPI_Clk,8.1µm
_037_,8.06µm
_116_,8.06µm
_022_,8.02µm
_112_,7.98µm
net66,7.88µm
net47,7.84µm
_040_,7.8µm
SPI_Master_Inst.r_TX_Byte\[3\],7.78µm
net46,7.765µm
_068_,7.66µm
SPI_Master_Inst.r_Leading_Edge,7.6µm
net44,7.56µm
_046_,7.52µm
_034_,7.34µm
_108_,7.32µm
_033_,7.3µm
_073_,7.12µm
_086_,7.06µm
i_Slave_Select[0],7.01µm
o_SPI_Clk,6.89µm
_038_,6.88µm
_102_,6.78µm
net56,6.64µm
_012_,6.6µm
_029_,6.6µm
net69,6.52µm
_093_,6.3µm
_047_,6.28µm
net12,6.18µm
_113_,6.16µm
o_SPI_CS[0],6.09µm
_117_,5.98µm
_031_,5.96µm
o_RX_Byte[2],5.75µm
o_SPI_CS[3],5.75µm
o_SPI_MOSI,5.75µm
o_TX_Ready,5.75µm
i_TX_Count[0],5.63µm
_069_,5.62µm
_023_,5.38µm
_070_,5.38µm
net11,5.38µm
_014_,5.34µm
_085_,5.34µm
_114_,5.34µm
net32,5.34µm
i_Slave_Select[1],5.29µm
net52,5.12µm
net67,5.12µm
net71,5.12µm
o_RX_Byte[1],5.07µm
o_SPI_CS[1],5.07µm
net60,5.06µm
net16,4.88µm
net6,4.8µm
net72,4.8µm
net31,4.76µm
_099_,4.71µm
_004_,4.68µm
_017_,4.68µm
_008_,4.6µm
_026_,4.6µm
_035_,4.58µm
_079_,4.56µm
_005_,4.54µm
_042_,4.54µm
_016_,4.46µm
o_SPI_CS[2],4.39µm
net65,4.385µm
_007_,4.36µm
_015_,4.34µm
_021_,4.34µm
_009_,4.22µm
_011_,4.02µm
net7,4µm
net53,4µm
i_TX_Count[1],3.93µm
net50,3.78µm
net14,3.68µm
_100_,3.56µm
_025_,3.54µm
net33,3.52µm
net75,3.22µm
_066_,3.2µm
_088_,2.98µm
_082_,2.96µm
net62,2.86µm
net51,2.76µm
_032_,2.74µm
net73,2.625µm
_006_,2.62µm
_041_,2.62µm
net68,2.3µm
_001_,2.28µm
_002_,2.28µm
_024_,2.16µm
_087_,2.16µm
net70,2.16µm
_111_,2.04µm
net58,2.04µm
net59,1.84µm
_075_,1.38µm
_104_,1.38µm
_003_,1.36µm
_027_,1.36µm
net48,0.46µm
